addr1,addr2,city,state,zip,matchbackid,tsmart_latitude,tsmart_longitude,tsmart_geolevel,tsmart_censusid
19217 FM 365,,Beaumont,TX,77704,270,29.925623,-94.2503,Street,4.8245E+14
2712 Nederland Ave.,,Nederland,TX,77627,271,29.963592,-93.999776,Street,4.8245E+14
20005 Merriman,,Port Neches,TX,77651,272,29.97792,-93.96472,Zip5,4.8245E+14
5840 W. Jefferson Blvd.,,Groves,TX,77619,273,29.945398,-93.924907,Street,4.8245E+14
740 DeQueen Blvd.,,Port Arthur,TX,77640,274,29.889914,-93.923211,Street,4.8245E+14
615 Ellias St.,,Port Arthur,TX,77640,275,29.897406,-93.989164,Street,4.8245E+14
525 Lakeshore Dr.,,Port Arthur,TX,77640,276,29.870589,-93.93202,Street,4.8245E+14
2441 61st St.,,Port Arthur,TX,77642,277,29.899516,-94.018203,Street,4.8245E+14
4440 Gulfway Dr.,,Port Arthur,TX,77642,278,29.915585,-93.912863,Street,4.8245E+14
4615 9th Ave,,Port Arthur,TX,77642,279,29.926958,-93.947792,Street,4.8245E+14
1308 9th Ave,,Port Arthur,TX,77642,280,29.905571,-93.916888,Street,4.8245E+14
5262 Gulfway Dr.,,Sabine Pass,TX,77655,281,29.73267,-93.89657,Zip5,4.8245E+14
1115 Lakeview Ave.,,Port Arthur,TX,77642,282,29.918006,-93.902747,Street,4.8245E+14
3248 39th St,,Port Arthur,TX,77642,283,29.918801,-93.944487,Street,4.8245E+14
4075 Highland Ave.,,Beaumont,TX,77705,284,30.047608,-94.085289,Street,4.8245E+14
825 Jackson St.,,Beaumont,TX,77701,285,30.070399,-94.086374,Street,4.8245E+14
3525 Cleveland St.,,Beaumont,TX,77703,286,30.113758,-94.122136,Street,4.8245E+14
12393 2nd St.,,Hamshire,TX,77622,287,29.862004,-94.310408,Street,4.8245E+14
1001 Pearl St.,,Beaumont,TX,77701,288,30.07962,-94.094371,Street,4.8245E+14
1400 Avenue A,,Beaumont,TX,77701,289,30.069192,-94.101031,Street,4.8245E+14
3580 E. Lucas Dr.,,Beaumont,TX,77703,290,30.124817,-94.136934,Street,4.8245E+14
7780 Boyt Rd.,,Beaumont,TX,77713,291,29.990647,-94.242792,Street,4.8245E+14
2930 Gulf St.,,Beaumont,TX,77703,292,30.106509,-94.112275,Street,4.8245E+14
4255 Fannett Rd.,,Beaumont,TX,77705,293,30.046034,-94.127813,Street,4.8245E+14
